label,text
neutral,"25 лет назад любой гуляющий между этими 2-я стенами схлопотал бы пулю со стороны Восточного Берлина, совки перебезчиков не любили"
neutral,"А у вас тоже такое было, когда стоишь молча, смотришь на этого человека и делаешь вид, что все равно, а сердце бьет изнутри."
neutral,"Для тех, кто парит над бездной,  Когда любая помощь бесполезна.  Это как гулять по оголённому лезвию,  Просто история одной болезни...."
positive,"скучать буду:(
очень очень:*"
positive,Такой милый как ты)))))))))))
positive,просто пойми.. мы с Blink 182 важнее.))))))  хахахах
positive,красивые!!!
positive,Семья в сборе:)
neutral,свои рекламы прошу не размещать. сразу в бан!
neutral,"Оооо, даже бабуля с покрышкой."
neutral,"Жестокость - это черта характера
добрых людей, она возникает когда об
твою доброту начинают вытирать
ноги."
neutral,"Такие вот они неисправимые.

Опять фанатичные сикхи устроили в Амритсаре рубку на мечах. А ведь собирались просто мирно отметить 30-ю годовщину еще одной резни произошедшей в 1984 г.

Пол сотни человек госпитализированно."
neutral,и на ком ты уже женат...***)))
neutral,дааа такой объем инфы я давно не получала ^_^
positive,Статус у тебя конечно ахуеный!!
neutral,"Верьте,Надейтесь,Любите..."
positive,"ахахха Бедный мишка*** 
Бог в шкафу
Ааааааа! Мама пришла!
Оля оля...
""Теперь когда я буду идти на музыку, буду смотреть на эту стену...""
""Всё! Я стену абматюкала...теперь можно идти!"" 
ахахах 
Было реально крууууто)"
negative,"капец, как меня ломает... >_<"
negative,"Прилетел из Перми. город к посещению не советую! Грязь, холодно, трущебы, развалины, сугробы..."
neutral,"Лучший способ научиться писать - читать хороших писателей и жить. 
 #Буковски"
negative,"Местный Телеком, окончательно оборзев, не только отключил инет 1 числа, но и выкатил счет втрое больше положенного, а также 2 раза нахамил."
neutral,Не могу забыть...
neutral,"Нет-нет, на тебя никому не похуй"
neutral,Саакашвили отказался от очень выгодного предложения ради поста губернатора в Одессе | Сводки и новости Новороссии
neutral,Очень. Два:)
negative,"ааааааа, ужааааас. Я это вчера по ящику видел. 
Даже не знаю, как откомментировать. А, никак, просто адовый ад."
neutral,"...и сказал Бог сказал демону: «Что ты расселся тут 
и злые дела свои оставил?» 
Печально ответил демон: «Столько развелось 
мнимых учителей, что я остался не у дел»."
negative,"Я брошу курить и переживу тебя, хуесоса.

Стамеска."
positive,Я ВСЕ ТАКИ ЭТО СДЕЛАЛ
neutral,все в лес.уединяться.
negative,скучно!!!!
positive,"9, я тоже соскучилась*)"
neutral,Перенести столицу России в Славянск !
positive,Юлька:*скучаю:с
positive,"боже, святее слов я не слышала просто"
neutral,"сегодня на евроньюс услышал фразу ""ВЕТЕРАН МАЙДАНА""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! теперь у них там и такое уже есть!!!!"
positive,титьки на Аве клёвые=)))
neutral,"Я конечно этих девушек и  парней не оправдываю, но считаю, что опубликовывать и выкладывать это все-перебор. Зачем вмешиваться  в личную жизнь других людей и портить их отношения с парнем(девушкой), друзьями, родителями. Какой в этом смысл? Разводить людей можно гораздо лучше и смешнее. Прочитал много разводов здесь, и практически каждый построен по одному и тому же сюжету, и почти в каждом разводе куча ошибок. Непонятно как люди не понимают,что это явный развод."
negative,"Блин она у меня уже второй час играет! И в голове Mon amour, mon ami! ааа это ужас!"
neutral,Зай что ето за статус?(
positive,"Любовь папы - это та любовь, которая никогда не предаст.👨💗👑✨"
negative,"Уже пятый час пошел как я пишу эту бредятину, а сделала только половину.
аааааааааааа"
neutral,"В жизни, как под дождем - наступает момент, когда уже просто все равно..."
positive,"Продуктивно провели выходные) Век живи, век учись!"
negative,"Первый раз, наверное, за год, заварил мате. Так себе, какой по пути был, ""карнавал"". Бамбуковая бомбилья потерялась, металлическая стала невкусной."
positive,Самый ценный в мире груз - это в пузе карапуз!!!
positive,"Всё супер!)) качество,доставка,товар!))
буду ещё брать,и другим рекомендую)"
neutral,"Спокойно, товарищ, спокойно."
positive,А вот как мы потанцевали вчера на моем дне рождения в огромном ансамбле Асса))☺️✌🏼️
neutral,Девяностые...
neutral,"Друзья...это Те, кто выслушит весь твой бред...все твои проблемы...Те кому мы говорим правду...И не говорим...Ты не поймёшь или не важно...."
positive,зшбсь пснка
neutral,потом еще так
neutral,"Уже давно взяла себе твердую установку: ""Мой мир заботится обо мне"". 💭 Встречаясь с любыми, даже самыми незначительными обстоятельствами, твердите себе эту формулу - в любом случае, что бы ни происходило - плохое или хорошее"
negative,"сижу с родителями перед телеком. НТВ (Федеральный канал). Ментовские войны. Сотрудник полиции смачно курит перед камерой (ладно, хер с ним), докуривает и... кидает бычок на землю. Федеральный канал, должностное лицо! А потом мы думаем - почему у нас люди такие свиньи? Что видим - то и делаем."
neutral,"Адольф,можно сралину сломать стекло?"
positive,Любимый велосипедист💙🚲
negative,А у меня велик украли( Тот самый
neutral,Мой папашка молодой)
neutral,Девичье пати) не вай-фай))))
neutral,"Мужчины уходят быстро, но часто возвращаются. Женщина долго думает, прежде чем уйти. Но уходит навсегда"
neutral,"Кто разбил окно?
Пять мальчиков играли во дворе в футбол и разбили мячом окно.
 Ваня сказал: ""Это или Паша, или Денис"".
 Паша сказал: ""Это сделал не я и не Вова"".
 Митя сказал: ""По-моему, один из них говорит правду, а другой - нет"".
 А Вова сказал: ""Митя, ты ошибаешься"".
 А бабушка сидела на лавочке и всё видела. Она сказала, что только один мальчик сказал неправду, но не выдала того, кто разбил окно.
 Но ведь вы и сами догадаетесь."
negative,какая нахрен осень!?!?!
neutral,"Сообщают, что вчера после продолжительной болезни умерла Ольга Олеговна Андронова 
(

Для тех, кто не знает, кто эта женщина, см. её последнее интервью: 

Несмотря на то, что последние года полтора мы не общались, при известии о её смерти мой мир резко сузился. Потому что О.О. — при своём бизнесе и большой семье — каждый день на общее благо делала колоссальную работу, какую один человек не выдюжит и на одну десятую. А воли и страсти в ней было и вовсе на целую армию. Думаю, что жизнь прожить нужно как-то так, как прожила её О.О.

Светлая ей память."
neutral,"вот, может кому то пригодится+)"
neutral,"Часто люди стараются промолчать вовсе не потому, что им совершенно нечего сказать, а как раз наоборот."
neutral,А у нас во дворе...
neutral,тупо нет денег на елку))
positive,"Мне одной безумно хочется гулять сегодня ночью?))
Сон,угомони меня...иначе сорвусь))"
neutral,"Да, жизнь одна. Но именно она определит ваше дальнейшее существование, будь вы верующий или нет. Так почему бы не прожить ее руководствуясь принципами добра а не насилия и разврата? Ведь расплата будет долгой, ой какой долгой..."
neutral,"Завтра ругайте меня с утра:)
сдаю русский
;) мы снова круто все напишем ;)"
neutral,"Можно быть рядом, находясь за тысячи километров друг от друга, и бесконечно далеко, сидя на   одном диване."
positive,"снег, снег, снег... наконец-то!"
neutral,"СТЕРВА (из словаря Даля) - труп околевшего животного, скота;
падаль,мертвечина, дохлятина, дохлая, палая скотина.

-Девчонки, может вы это.... какой-нибудь другой гордый статус себе придумаете?"
neutral,это ты к чему? вроде бы зима уже ))
positive,"всё,что было,то прошло!
и пусть эти мрази сдохнут от зависти,что тперь он рисует только на моей стене!!!:)"
neutral,Еще кусочек лета и солнца...
negative,"Отец, что же это за нахуй?"
negative,Российские сми самые пиз.ливые сми в МИРЕ!
neutral,"Лол,мы утопили нашу тачилу в реке.Трип закончился,ждем спасателей."
neutral,Было бы не плохо)
neutral, приговорена к смертной казни
positive,Сейчас мало таких! Мы ценим вас!
positive,текст хороший!!!:) почитай!
neutral,"Самое популярное из моих стихотворений - ""Элегическое посвящение комару""   Почему так? Я же пишу о Родине, о Человечестве, о Женщине... а толку?.."
neutral,"Папа научил-быть гордой,Мама научила-быть-леди,А брат-ничему не учил,он просто сказал""Обидят? -Порву!""...©"
positive,"Любимый мульт в детстве) это была единственная кассета, которую я после просмотра обязательно перематывал, что-бы в следующий раз сразу можно было смотреть, не тратя драгоценные минуты на томительное ожидание. =)"
neutral,никто не доживет до смерти. все умрут еще при жизни
neutral,"Мира, вот то видео которое ты искала...!!!!!!"
positive,Опааааа))) Альбом вышел))
positive,люблю твой фотостатус.*)
positive,"Хочется лета. Тупо болтаться на улице, пытаясь найти тенек, да чтоб ветерком обдувало, не думать и даже не знать день недели!"
neutral,ну и как же без этого)
neutral,Деструктивная жизнь в общаге и хлебосольные однокурсники сделали свое дело......3 лишних кг.....Мой рельефные пресс и точёная талия спрятались под слоем жира;) НА КЕФИР!!!И в тренажёрку! АМИНЬ!
positive,"если бы не фото, то мне никто бы не поверил что в середине октября могут цвести одуванчики !)))"
neutral,С бодуна экзамены лучше сдаются?
neutral,че за статус?че возмущаешься?)
neutral,"ЗД друзья у всех медальон за безумные выходные на месте,а то я получила а вот в амулетах в инвентаре как было 2 так и осталось"
positive,"Я буду очень скучать по своим одноклассникам... 
ПО СВОИМ ЛЮБИМЫМ ПСИХАМ."
positive,"ты мой Бог
фото великолепны)
это и все/)"
neutral,А на улице дожди.
neutral,и медленно сходить с ума...
neutral,В Стокгольме пасмурно!
negative,Дану нахуй ты в армии братан?????
neutral,"да я видел,жёстко"
positive,чоткий пацан
neutral,"Хочу такую зиму, чтоб не было времени для интернета."
positive,Встреча удалась)))
neutral,Во все тяжкие...
positive,"Спосибо дорогой за то что ты са мной, ты выдержываешь все мои истерики, психи, капризы, ты понимаешь меня как никто другой. Родной мой ты изменил мою жызнь в лутчшую сторону-добавил в неё ярких красок. Ты изменил моё понятия на жызнь. Зделал так что бы я улыбалась даже когда грусто. Извени меня что я неценила нашы отношения, ты сам один боролся за них, что бы быть со мной. И благодаря тебе через 15 дней будет 2 года как мы вместе. Прости меня за всё, я очень тебя люблю."
neutral,"У меня нет недостатков)) И точка, бл)) :D"
neutral,"Как считаете, нужно ли в сегодняшней России ввести официальную смертную казнь?  "
positive,"Я сейчас сижу на столе с компом и с чаем)))отвечаю, чувствую себя, как на троне=)))"
positive,"Очень хорошая новость! На официальных ресурсах, правда, подтверждения пока нет. Не исключено, что решение принято явочным порядком, без каких-либо официальных разрешений.

"
negative,"Никто не поддержит мою теорию о том, что на короллах ездят одни сука, мудаки?)"
neutral,"Ужин после тяжёлой трени))) простите за качество, композицию и тд, жрать хотелось нереально поэтому быстро сфокал и сел кушать)))"
neutral,альтернатива максим)
neutral,"никогда не бойся выразить свои чувства, иначе партия будет проиграна."
neutral,Мои передовые секретные разработки. Щас тебя просто порвет.
positive,"Посмотри, тебе понравится. Охуенный фильм"
negative,"не врите в красноярске год пользуюсь
хуже вас никого нету"
neutral,Что-то у тебя затишье...)
negative,Ночь.Темнота. В душе пустота. Грусть на душе. И только мысли о тебе...♥♥♥
neutral,"Кузьма Петровна.
Марья Афанасьевна.
Екатерина Андреевна.
Евдокия Путина.
когда то осенью... КОЛЮШКА."
neutral,"17 этаж
Аее"
neutral,"матрица что-то там, и т.д. и.т.п
0"
neutral,"Статус, который никто не комментирует... :)"
positive,Хахахах)))))))я оруууууу)))))
neutral,"Друзья
- это люди, которые всю жизнь будут напоминать о
твоих косяках и 
угорать над ними. Друзья - это люди, по которым 
начинаешь жутко скучать,
если целый день их не видел."
neutral,"Новый трэк, пацаны!"
neutral,"Мне нужен экзорцист, который бы каждое утро изганял бы меня с кровати."
positive,"48 чего?
сантиметров?
=))
ха ха я знала!)))))"
neutral,"хочу однажды зайти в контакт, и вместо привычной страницы увидеть ""этого сайта больше не существует""!!!!!!!!!!!!!!"
positive,"ааа наконец то все круто )) спасибо вам мои хорошие, за афигенскую вечеринку, и релаксное воскресенье с чистой от дурных мыслей, головой)))"
negative,"Как то, все очень плохо..."
negative,"Какашка,я лишь преукрашаю твою стену!!!!А ты что сделала?)Ты хочешь,чтобы у тебя была банальная,типо независимая стена?!Такого не будет!!!Позор тебе,Дерикова!!!)))"
negative,"Дорогой эдичка ,я до сих пор не могу осознать что тебя больше нет с нами ,очень трудно это осознать,я не представляю как мы без тебя ,ты наш маленький огонёк ты всегда вызывал улыбку делился свои позетивом,даже когда было очень грустно ты все равно вызывал улыбку ,всегда поддерживал в трудную минуту, я не могу остановить слез осозновая что тебя больше нет  с нами ,не представляю как мы без тебя, мы тебя  не когда не забудим ты всегда останишся в наших сердцах,не когда не забуду когда мы ехали в машине и там лежала обезьянка и мне она понравилась и ты мне её подарил спасибо тебе большое теперь она у меня и будет напоминать мне о тебе ,я тебя не когда не забуду, Царство небесное пусть землЯ тебе будет пухом, Помним ,Любим ,Скорбим"
neutral,"Последние исследования показывают, что 91% владельцев смартфонов держат их от себя на расстоянии вытянутой руки 24 часа в сутки 7 дней в неделю даже во время сна."
negative,Я бы этому дяде с большими ушами уши бы пооткрутил
neutral,"хочу, чтобы тот, по кому я скучаю, сказал мне, как сильно он скучает по мне"
negative,сука замою девку тебе хана тыменя понял ятебя спед земли достану охуэл уже
neutral,Почему в абонентской службе почти никогда не берут трубку?
negative,"Бля, чё такая тоска? Хде драйв?"
positive,"Юхууууууууууууу! Куча время, денег и нервов, и наконец права готовы!"
neutral,"Почему vkontakte нету значка ""мне не нравится""? Ох я бы уже оторвался ..."
positive,1-ый нах!:D
negative,"амиров что ж ты меня забанил правда матка глаза жжет ? правильно
всех вас фашистов вижу нутром, всех вас ненавижу, каким бы хозяином вы не были проплачены"
positive,Козявка моя*
positive,немного юмора ;)
negative,Жизнь стала пахожа на большую попу=D
positive,Ноги в руки и дуй домой... Мы скучаем 🙏👣🏃🏃🏃❤🚢⚓
negative,Как же нехочеца житть!
negative,"Ко мне пришли Мистер Кашель, Миссисс Температура, Тетя Простуда и Дядя Насморк!"
neutral,Новый паспорт. Европеизируемся :)
positive,"Хочу услышать в свой адрес: ""я люблю тебя очень сильно"""
neutral,"В горах
Голубой саксонский лес
     Снега битого фарфор.
     Мир бесцветен, мир белес,
     точно извести раствор.

     Ты, в коричневом пальто,
     я, исчадье распродаж.
     Ты — никто, и я — никто.
     Вместе мы — почти пейзаж."
neutral,Так сейчас работает мой многострадальный комп. Сбросил панцирь.
neutral,"|  Ребят голосуем за меня, я должен победить того хуесоса
 | Обсуждаем мою будущую победу! Я же нагибатор и
 | хардкорщик, хуле.
 \/"
neutral,Ужасные предсказания от Дмитрия Иванова на 2015 и последующие года
neutral,"[id3523590|Юрий], а про руление коленками не замечают"
neutral,станцуй мне*))
neutral,Чак Норрис вырвал страницу из ВКонтакте.
positive,надеюсь понравится)
neutral,"Убиенных щадят, отпевают и балуют Раем, Не скажу про живых, а покойников мы бережем."
positive,"я вообще так не любила никого,
как тебя...."
positive,на вот твоя любимая а то закалебал у вороны меня просить чтоб я заказала для тебя эту великолепнейшую композицию)
neutral,Женщину до истерики может довести любая мелочь. Мужчину до истерики может довести только женщина.
neutral,"Вчера наблюдал довольно забавную картину:

Еду в метро, на одной из станций заходит негр и спокойно едет себе, никого не трогая. На следующей станции заходят два обритых тела, замечают его и начинается выяснения статусов в обществе и т.п. Несколькими минутами позже начинаются взмахи руками, толкатня и, в конечном итоге, драка. За всем этим молча наблюдает мужчина, которого мягко говоря можно назвать здоровенной рамой. И вот на очередной станции видимо терпене у него то и заканчивается, и он, беря как детей за шкирки этих двух скинов, легким движением выбрасывает их на перрон. Те молча удаляются. Затем он помогает негру встать, помогает отряхнуться от пыли и (ВНИМАНИЕ!!!!) произносит гениальную фразу:
- ну ты как вообще, нормально, работать сможешь?"
neutral,"затихло
но бабахи были мега"
neutral,Хочу вопросы:D
positive,У МЕНЯ РОДИЛСЯ СЫН!!!!!!!ЕЩЕ ОДИН РУДЫХ!!!!Я СЧAСТЛИВ!!!
neutral,Больше не случится ничего плохого.
neutral,"Говорите, все что не случается, все к лучшему, ну чтож посмотрим..."
negative,"""Ведь ""украинству"" как идеологии и эстетике теперь конец. ""Украинство"" - это больше не венки, вышиванки и позитивные песенки, не ""свобода и достоинство"", даже не романтика революции. Это просто холокост. Куча обугленных трупов и гогочущие над ними упыри. И это - очень надолго. Как минимум, лет на пятьдесят.
Как возможно теперь существование ""единой Украины""?"""
positive,ванны с кактусом и лаймом. крутая штука.
positive,"Люди пришли, люди
ушли. Какая разница?
Главное смотреть, кто остается, а
остаются единицы, которые по-
настоящему тебя любят и дорожат
тобой.))))"
neutral,#Жека #выходные #школа
neutral,"Покажу еще немного Вильнюса. 

А тем временем, мы уже побывали в Риге и добрались до Таллина)"
positive,Пираты жгут!))
neutral,#крутаягорка первый полет прошел нормально 
positive,это моя любимая  музыка!А тебе?
negative,дите нахуй..нюша сказала
neutral,"Основные функции милиции — защита прав граждан, интересов общества и государства."
positive,"аххх, ребятки, как же хочется к вам на Новый Год!! чтобы так же круто было как в прошлом году, помните как круто мы в школе праздник провели?? ааааа, хочу так же!!! как же мне вас не хватает, ребятки!!!!!!!!!!"
neutral,ТиграДитаЛян   хороший оно или плохой?!.....
positive,Да будет СИНЬКА!!
neutral,"Сав - почему на неонке тебя нет? Или всётаки есть, н опод клоном?"
negative,Под последнюю аж сдохнуть хочется :/
negative,"я хочу свалить, в ту страну где можно жить...прочь из этих мест)"
neutral,пора идти за елкой..
neutral,Для тебя пой)))
negative,"Хочу снова в барсу , в город вечного веселья, не хочу слякоть и снег(("
negative,"Я не художник:(
Скучаюююю...."
positive,"Ребята, это же дико смешно.
"
negative,"Я слушаю Шока на протяжение трех, четырех лет, но после случая с ромой жиганом я не перестану слушать и уважать Schokka. А уважения к роме жигану пропало навсегда. Я уверен что преданные фаны Schoka останутся теми же. Да, многие так называемые фаны обосравшись отвернутся, и станут подражать жиганской шпане. P.S. Преданный фан шока ""Rap Teror""."
positive,"как хорошо, что конец света был липовый..."
neutral,"тааааак...я не поняла...что за статус..??оО..что случилось,что болит??"
negative,"Всё складывается совсем не так,
как хотелось бы."
negative,"Может быть Я и псих, но уж больно Мне нравится наблюдать за людьми. Жалкие, мелкие людишки, которые двуликие даже по отношению к самым близким людям. Улыбаясь в лицо, и называя другом, они готовы впиться клыками в горло при первом-же удачном моменте. Их глупые обещания или красноречивые выссеры в сторону любых тем, вызывают у Меня острые приступы метеоризма. Посмотрите на себя, вы отвратительны!"
negative,"Никогда не ставьте грустный статус, найдется какая-нибудь сука, которая порадуется!!!"""
neutral,1 ТМ ЭТО ПОПА. НО ВСЁРАВНО 1 ТМ)))))))))))))))) НАША СИЛА В РАЗВОДНОМ КЛЮЧЕ))))
positive,Как я хочу тепло!(
positive,"ехууууууууу)
мы завершили один из самых незабываемых масштиабных проектов)

Спасибо огромное участникам и, конечно, команде Карьер Форума!!! Мы сделали этоооооооооооо - ""курлык-курлык"""
neutral,Ах этот прекрасный язык любви и его грамматика... Чувствую себя двоечником. #francais #учитьязыкилегко 
positive,"На даче ничто так не доставляло удовольствие, как небольшая фото-охота..."
positive,"Мне похуй какая ситуация. Во-первых, она заебись подруга. А во-вторых, я любому за неё руки сломаю"
negative,"Но есть одно но 
Он говно"
positive,"Все тебя любят. Друзяшка, Всё будет харашо. не унывай."
neutral,"Ну правда! Что мы все вокруг да около...Пора уже признать, кто Президент правления планеты Земля"
positive,Коблево❤❤ @ Аквапарк Коблево 
neutral,Лежал такой и тут вдруг ..
neutral,"Надеюсь, друг будет служить верой и правдой!"
neutral,"В Армении пасмурно, похоже весь день так будет. Как у вас погода? :)"
positive,Сегодня год семейной жизни!
neutral,"Как у нас все хорошо, даже полиция предупреждает"
neutral,В центре Киева пытаются разрушить памятник Ленину.
positive,"Кто самый счастливый человек на земле?
Сегодня эта участь выпала мне,
Быть может завтра и тебе упадет счастье в лапы,
Но, а сегодня я....
Стал ПАПОЙ!"
negative,Блин....Да что ж такое то...
negative,Да пошло оно все...
negative,Какой же всё-таки конченный шакал этот Гейдар Джамаль. Хочет манипулировать религией ради национальных интересов. aze.az/news_geydar_jemal_armyane_70915.html
neutral,"Приехали друзья, сняли апартаменты, думали ДР отметить по кайфу, чтоб все красиво было. В итоге:"
neutral,"еще раз здрасте всем))) суть того что я хочю устроить: вы мне задоёте любые вопросы, какие в голову взбредут, а я на них отвечаю только честно, от вас ничего не требуется) Хочю только зметить, что вопросы могу покалечить вас больше чем меня..."
negative,"ЭЭххх,дурная моя"
neutral,Брат... знакомо?...
positive,"Эх, лето!.."
positive,"мужчина и женщина созданы для БЕЗУМИЯ, ради которого ХОЧЕТСЯ ЖИТЬ!!! И с ума сойти хочется!!!"
positive,♥Смысл жизни - улыбка мамы♥
negative,"Долбануться разнообразие. Дрифтеры у Ашана уже не комильфо, новый тренд сезона - обносить инкассаторские машины. Налётчики унесли ноги, охранник откинулся с огнестрелом, у полиции консилиум. Даже вы не смотрите НТВ по телевизору, не факт, что вы не обнаружите его за окнами."
negative,"Сегодня в 8 утра закончилось моё детство:( 
Увидел пьяного, обрыганого, клоуна с размазанной по всему лицу помадой, выпрашивающего бутылку нимирова:)"
negative,"И они ждут Прекрасного Принца, вбив себе в голову этот дурацкий 
рекламный образ, который плодит неудачниц, будущих старых дев и мегер, 
потому что 
счастливыми-то их сделать может только мужчина, далекий от совершенства"
neutral,Ты такая одна...
positive,Надеюсь у нас все получится ✔️👌
neutral,"Падение межпланетной станции: страх перед ""Фобосом"" растет .Этот уже который по счёту,я сбился,третий?..четвёртый??"
neutral,"в этот вечер она хотела только танцевать, но была слишком пьяна и ..отключиласть.)Je t'aime**"
neutral,"Слоник мы в геленджике, давай к нам !)))"
positive,Грушу хочу!!!))))
negative,какая же дура.....
neutral,"расм,(русский asm)-у тебя такого нет !!! :)"
positive,Весна пришла ! И мой кошель меня сегодня приятно удивляет !!!
neutral,"Для меня ""влюбилась"" и ""люблю""- разные понятия.
""Влюбилась"" - ты 
ищешь его в толпе глазами, ждешь звонка, сходишь с ума от его духов. 
""Люблю"" - он навсегда останется печатью на твоём сердце. ©"
neutral,"Обаму встречал глава кубинского МИД'а. Это что-то новенькое. Обхождение, однако ..."
positive,не могу смотреть фотки друзей после лета! белая зависть гложет!(( НА МОРЕ ХОЧУУУУУУУ!
positive,"Вот и годик первый стукнул!
Кто-то может скажет: «мало»
Но, на самом деле знает
Как не мало — только мама!
Как немало стать той мамой!
Самой нежной и любимой,
Самой главной, самой-самой!
Стать и сильной, и ранимой!
Как уставшей у кроватки
Быть счастливой, тихо плача,
От того, что есть на свете
Тот, кто больше жизни значим!
Тот, кто в первый раз обнимет,
Улыбнется чисто-чисто,
Скажет как-то чудно «МАМА»
В первый годик своей жизни!
Вот и стукнул первый годик!
Было все же в нем не мало.
Только знает это точно
Только мама! Только мама!"
neutral,"Мало кто верил, но это случилось"
neutral,Ошибиться может каждый. Признать ошибку - достойный. Попросить прощения - мужественный. Возобновить отношения - сильный.
negative,НЕНАВИЖУ СВОЮ РАБОТУ ! ! !
neutral,"""всё временно...любовь..планета Земля...вы...я..."""
positive,"божественный трек!!))) 
доброе утро всем и хорошего дня)))"
positive,"Спасибо,что ты есть<3Ты лучшая:***"
negative,Ебать псих
negative,наверное только такой дебил как я мог заболеть ЛЕТОМ!!!!!!!!!
neutral,"Практическая политология. И да, это имидж-бумажка.

Ничего удивительного. Это всего лишь 11 вечера и мы фоткаем смятые листы."
positive,а теперь треки под которые можно овторить субботу чтобы не то что бы шея болела но голова вообще оторвалась))ахахаха
positive,"Жизнь, как чудо"
negative,будь прокляты все УФМС
neutral,никакой не Кристиныч!!
neutral,Дэнчик! ты чо в отпуске чтоли непойму??
positive,"Кися,моя,знаю тебя не первый год,ты самая лучшая) такой как ты нет большк нигде,я очень соскучилась,надеюсь что в селе встретимся и поскорее,желаю тебе самого прекрастного в этой жызни,и самое главное здать дпа,я не хочу тебя терять,и все потому что ты моя самая самая,аж не вериться еще 10 лет назад,мы познакомились(если не больше),все моменты пережитые с тобой,самые лучшие,когда мы играли в куклы,и дрались) все ночевки,когда ты коментировала все что я говорила,это самые лучшие моменты,ты моя самая лучшая подруга,провереная временем и километрами,надеюсь что мы скоро очень скоро встретимся,подарок с меня будет) люблю тебя:* 🎁🎉🎉🎉🎁🎊🎊🎂🎂😍😍❤❤❤❤❤❤❤❤❤"
positive,ебать)) прям одно лицо! хахах
neutral,"А смысл было что то выкладывать, если пи первом комменте сразу сносишь посты ? =)"
positive,"смотрела?
я сейчас смотрю!
ваааау-вауууууууу просто!"
neutral,"делать просто не чего:), коряво :D"
neutral,"Люди, которые никогда в жизни не смотрели ""Назад в Будущее""! Перестаньте перепощивать фейковые картинки! Вы оскорбляете мои чувства."
neutral,и что вот делать теперь?!
neutral,Зима пришла
positive,Вот это находка 😂😂😂😂😂😂😂
negative,"а я проснулась ,выгляжу как маленькая пизда,такая опухшая :D©"
neutral,"Система берёт своё, в состоянии ли мы ей противостоять? Алкоголь, сигареты, ТВ, кто может похвастаться тем что отказался от всего этого?"
positive,Восхетительная
positive,мой заяц любит меня ))
neutral,"""а помнишь как тебя народ нар уках подкидывал у библиотеки а ты кричал-чествуйте меня ЧЕСТВУЙТЕ"""
neutral,а то спать охото
neutral,"Японские крылатые выражения с сексуальным подтекстом. Пытался перевести максимально верно:

От раскаяния хер не встанет - даже если будешь сожалеть, смысла нету.

И королей чикана (вид домогательства в Японии) ловят - даже асы иногда терпят провал.

Один секс - две телочки - в одной вещи сразу несколько хороших сторон.

Импотенция девственнику - полоса невезения.

Сверху девочки три года - если набраться терпения, то справишься даже с самыми сложными задачами.

Если не попасть в жопу, то будет приятно - Успех при удачных сечениях обстоятельств."
neutral,"дети,до какого числа продлится карантин? победителю скидываемся на чё-нить вкусное"
